1,Wireworms,Corn,Mild,22,60,Implement crop rotation and clean cultivation practices to disrupt wireworm lifecycle.,Apply chemical insecticides as a last resort.
2,White grubs,Potatoes,Moderate,23,65,Plant potatoes in well-drained soil to discourage white grub infestation.,Apply beneficial nematodes to soil to control white grub populations.
4,Root maggots,Carrots,Severe,18,70,Practice crop rotation with non-cruciferous plants to disrupt root maggot lifecycle.,Apply beneficial nematodes or parasitic wasps to soil to control root maggot populations.
5,Aphids,Various crops,Moderate,25,75,Encourage natural predators such as ladybugs and lacewings.,Apply insecticidal soap or neem oil spray to affected plants.
6,Cutworms,Tomatoes,Mild,20,65,Use collars around plant stems to prevent cutworm access to young seedlings.,Handpick cutworms from garden beds in the evening when they are most active.
7,Hornworms,Tomatoes,Severe,25,70,Handpick hornworms from plants and dispose of them.,Introduce parasitic wasps or predatory insects such as green lacewings to control hornworm populations.
8,Armyworms,Corn,Moderate,22,68,Practice crop rotation to disrupt armyworm lifecycle.,Apply biological insecticides such as Bacillus thuringiensis (Bt) to control armyworm infestations.
9,Japanese beetles,Roses,Severe,26,65,Handpick Japanese beetles from plants early in the morning when they are less active.,Apply neem oil or insecticidal soap to plants to deter Japanese beetle feeding.
10,Cabbage loopers,Cabbage,Severe,20,70,Install row covers to protect cabbage plants from cabbage looper infestation.,Release parasitic wasps such as Trichogramma to control cabbage looper populations.
11,European corn borers,Corn,Severe,24,75,Destroy corn stalks and residue after harvest to disrupt European corn borer lifecycle.,Apply biological control agents such as nematodes or parasitic wasps to soil to target European corn borer larvae.
12,Flea beetles,Eggplants,Mild,22,68,Use floating row covers to protect eggplant seedlings from flea beetle damage.,Apply diatomaceous earth or kaolin clay to eggplant leaves as a physical barrier against flea beetles.
14,Gypsy moths,Various trees,Severe,28,70,Wrap tree trunks with burlap bands to capture gypsy moth caterpillars.,Apply biological insecticides containing Bacillus thuringiensis (Bt) to control gypsy moth caterpillars.
15,Leafhoppers,Beans,Moderate,24,65,Remove weeds and grasses from around bean plants to eliminate leafhopper habitat.,Apply insecticidal soap or neem oil to bean plants to control leafhopper populations.
16,Loopers,Brassicas,Mild,20,68,Install row covers to protect brassica crops from looper infestation.,Handpick loopers from plants and drop them into a bucket of soapy water for disposal.
17,Mealybugs,Houseplants,Moderate,25,75,Wipe houseplant leaves with a damp cloth to remove mealybugs.,Spray affected houseplants with insecticidal soap or neem oil.
21,Potato beetles,Potatoes,Severe,28,75,Handpick adult potato beetles and their larvae from potato plants.,Apply insecticides containing spinosad or neem oil to control potato beetle infestations.
22,Scale insects,Citrus trees,Moderate,26,70,Prune heavily infested branches from citrus trees to reduce scale insect populations.,Apply horticultural oil or insecticidal soap to citrus trees to control scale insects.
23,Slugs,Lettuce,Moderate,22,80,Handpick slugs from lettuce plants and place them in a container of soapy water.,Apply iron phosphate-based slug baits around lettuce plants to attract and kill slugs.
